SEED;SUBJID;Sequence;DATE;SIGN;round
2843;1;002_SP -> 002_PP -> 003;2019-12-10;KF;1
2843;2;002_SP -> 002_PP -> 003;2019-12-10;KF;1
2843;3;002_SP -> 002_PP -> 003;2019-12-10;KF;1
2843;4;003 -> 002_SP -> 002_PP;2019-12-10;KF;1
2843;5;003 -> 002_SP -> 002_PP;2019-12-10;KF;1
2843;6;003 -> 002_SP -> 002_PP;2019-12-10;KF;1
2843;7;002_SP -> 002_PP -> 003;2019-12-10;KF;1
2843;8;003 -> 002_SP -> 002_PP;2019-12-10;KF;1
2843;9;003 -> 002_SP -> 002_PP;2019-12-10;KF;1
2843;10;002_SP -> 002_PP -> 003;2019-12-09;SA;1
2843;11;003 -> 002_SP -> 002_PP;2019-12-10;KF;1
2843;12;002_SP -> 002_PP -> 003;2019-12-10;KF;1
2843;13;003 -> 002_SP -> 002_PP;2019-12-11;KF;1
2843;14;003 -> 002_SP -> 002_PP;2019-12-11;KF;1
2843;15;002_SP -> 002_PP -> 003;2019-12-11;KF;1
2843;16;002_SP -> 002_PP -> 003;2019-12-11;KF;1
2843;17;003 -> 002_SP -> 002_PP;2019-12-11;KF;1
2843;18;002_SP -> 002_PP -> 003;2019-12-11;KF;1
2843;19;002_SP -> 002_PP -> 003;2019-12-12;SA;1
2843;20;003 -> 002_SP -> 002_PP;2019-12-12;SA;1
2843;21;003 -> 002_SP -> 002_PP;2019-12-12;SA;1
2843;22;002_SP -> 002_PP -> 003;2019-12-12;SA;1
2843;23;002_SP -> 002_PP -> 003;2019-12-12;SA;1
2843;24;002_SP -> 002_PP -> 003;2019-12-12;SA;1
2843;25;003 -> 002_SP -> 002_PP;2019-12-13;SA;1
2843;26;003 -> 002_SP -> 002_PP;2019-12-13;SA;1
2843;27;002_SP -> 002_PP -> 003;2019-12-13;SA;1
2843;28;002_SP -> 002_PP -> 003;2019-12-13;SA;1
2843;29;003 -> 002_SP -> 002_PP;2019-12-13;SA;1
2843;30;002_SP -> 002_PP -> 003;2019-12-14;KF;1
2843;31;003 -> 002_SP -> 002_PP;2019-12-14;KF;1
2843;32;003 -> 002_SP -> 002_PP;2019-12-14;KF;1
2843;33;002_SP -> 002_PP -> 003;2019-12-14;KF;1
2843;34;002_SP -> 002_PP -> 003;2019-12-18;SA;1
2843;35;002_SP -> 002_PP -> 003;2019-12-18;KF;1
2843;36;002_SP -> 002_PP -> 003;2019-12-18;KF;1
2843;37;003 -> 002_SP -> 002_PP;2019-12-18;KF;1
2843;38;003 -> 002_SP -> 002_PP;2019-12-18;KF;1
2843;39;003 -> 002_SP -> 002_PP;2019-12-18;KF;1
2843;40;002_SP -> 002_PP -> 003;2019-12-18;KF;1
2843;41;002_SP -> 002_PP -> 003;2019-12-19;KF;1
2843;42;002_SP -> 002_PP -> 003;2019-12-19;KF;1
2843;43;003 -> 002_SP -> 002_PP;2019-12-19;KF;1
2843;44;003 -> 002_SP -> 002_PP;2019-12-19;KF;1
2843;45;002_SP -> 002_PP -> 003;2019-12-19;KF;1
2843;46;003 -> 002_SP -> 002_PP;2019-12-19;KF;1
2843;47;002_SP -> 002_PP -> 003;2019-12-19;KF;1
2843;48;003 -> 002_SP -> 002_PP;2019-12-19;KF;1
2843;49;003 -> 002_SP -> 002_PP;2019-12-19;KF;1
2843;50;003 -> 002_SP -> 002_PP;2019-12-20;SA;1