SEED,SUBJID,Sequence,DATE,SIGN,round,note
2684,1,002_SP -> 002_PP -> 003,2019/12/23,Shensiaoshan,1,
2684,2,002_SP -> 002_PP -> 003,2019/12/23,Shensiaoshan,1,
2684,3,002_SP -> 002_PP -> 003,2019/12/23,tsu-yueh,1,
2684,4,003 -> 002_SP -> 002_PP,2019/12/23,tsu-yueh,1,"Wrong choice, Correct sequence"
2684,5,003 -> 002_SP -> 002_PP,2019/12/23,tsu-yueh,1,"Wrong choice, Correct sequence"
2684,6,002_SP -> 002_PP -> 003,2019/12/23,tsu-yueh,1,
2684,7,003 -> 002_SP -> 002_PP,2019/12/23,Shensiaoshan,1,"Wrong choice, Correct sequence"
2684,8,003 -> 002_SP -> 002_PP,2019/12/24,Shensiaoshan,1,"Wrong choice, Correct sequence"
2684,9,002_SP -> 002_PP -> 003,2019/12/24,Shensiaoshan,1,
2684,10,003 -> 002_SP -> 002_PP,2019/12/24,tsu-yueh,1,"Wrong choice, Correct sequence"
2684,11,002_SP -> 002_PP -> 003,2019/12/24,Shensiaoshan,1,
2684,12,003 -> 002_SP -> 002_PP,2019/12/24,Shensiaoshan,1,"Wrong choice, Correct sequence"
2684,13,003 -> 002_SP -> 002_PP,2019/12/24,Shensiaoshan,1,"Wrong choice, Correct sequence"
2684,14,003 -> 002_SP -> 002_PP,2019/12/24,Shensiaoshan,1,"Wrong choice, Correct sequence"
2684,15,003 -> 002_SP -> 002_PP,2019/12/25,hsiao-hsin,1,"Wrong choice, Correct sequence"
2684,16,003 -> 002_SP -> 002_PP,2019/12/25,hsiao-hsin,1,"Wrong choice, Correct sequence"
2684,17,003 -> 002_SP -> 002_PP,2019/12/25,hsiao-hsin,1,"Wrong choice, Correct sequence"
2684,18,002_SP -> 002_PP -> 003,2019/12/25,Shensiaoshan,1,
2684,19,002_SP -> 002_PP -> 003,2019/12/25,tsu-yueh,1,
2684,20,003 -> 002_SP -> 002_PP,2019/12/25,Shensiaoshan,1,"Wrong choice, Correct sequence"
2684,21,003 -> 002_SP -> 002_PP,2019/12/26,Shensiaoshan,1,"Wrong choice, Correct sequence"
2684,22,002_SP -> 002_PP -> 003,2019/12/26,Shensiaoshan,1,
2684,23,002_SP -> 002_PP -> 003,2019/12/26,Shensiaoshan,1,
2684,24,002_SP -> 002_PP -> 003,2019/12/26,Shensiaoshan,1,
2684,25,002_SP -> 002_PP -> 003,2019/12/26,Shensiaoshan,1,
2684,26,002_SP -> 002_PP -> 003,2019/12/27,tsu-yueh,1,
2684,27,003 -> 002_SP -> 002_PP,2019/12/27,tsu-yueh,1,"Wrong choice, Correct sequence"
2684,28,002_SP -> 002_PP -> 003,2019/12/27,tsu-yueh,1,
2684,29,003 -> 002_SP -> 002_PP,2019/12/27,Shensiaoshan,1,"Wrong choice, Correct sequence"
2684,30,003 -> 002_SP -> 002_PP,2019/12/27,Shensiaoshan,1,"Wrong choice, Correct sequence"
2684,31,003 -> 002_SP -> 002_PP,2019/12/31,hsiao-hsin,1,"Wrong choice, Correct sequence"
2684,32,003 -> 002_SP -> 002_PP,2020/1/2,hsiao-hsin,1,"Wrong choice, Correct sequence"
2684,33,003 -> 002_SP -> 002_PP,2020/1/6,Shensiaoshan,1,"Wrong choice, Correct sequence"
2684,34,002_SP -> 002_PP -> 003,,,1,
2684,35,002_SP -> 002_PP -> 003,,,1,
2684,36,002_SP -> 002_PP -> 003,,,1,
2684,37,003 -> 002_SP -> 002_PP,,,1,
2684,38,002_SP -> 002_PP -> 003,,,1,
2684,39,002_SP -> 002_PP -> 003,,,1,
2684,40,003 -> 002_SP -> 002_PP,,,1,
2684,41,003 -> 002_SP -> 002_PP,,,1,
2684,42,003 -> 002_SP -> 002_PP,,,1,
2684,43,003 -> 002_SP -> 002_PP,,,1,
2684,44,002_SP -> 002_PP -> 003,,,1,
2684,45,003 -> 002_SP -> 002_PP,,,1,
2684,46,003 -> 002_SP -> 002_PP,,,1,
2684,47,002_SP -> 002_PP -> 003,,,1,
2684,48,003 -> 002_SP -> 002_PP,,,1,
2684,49,003 -> 002_SP -> 002_PP,,,1,
2684,50,003 -> 002_SP -> 002_PP,,,1,
2684,51,003 -> 002_SP -> 002_PP,,,2,
2684,52,002_SP -> 002_PP -> 003,,,2,
2684,53,002_SP -> 002_PP -> 003,,,2,
2684,54,002_SP -> 002_PP -> 003,,,2,
2684,55,002_SP -> 002_PP -> 003,,,2,
2684,56,002_SP -> 002_PP -> 003,,,2,
2684,57,002_SP -> 002_PP -> 003,,,2,
2684,58,003 -> 002_SP -> 002_PP,,,2,
2684,59,002_SP -> 002_PP -> 003,,,2,
2684,60,003 -> 002_SP -> 002_PP,,,2,
2684,61,002_SP -> 002_PP -> 003,,,2,
2684,62,003 -> 002_SP -> 002_PP,,,2,
2684,63,002_SP -> 002_PP -> 003,,,2,
2684,64,002_SP -> 002_PP -> 003,,,2,
2684,65,003 -> 002_SP -> 002_PP,,,2,
2684,66,002_SP -> 002_PP -> 003,,,2,
2684,67,002_SP -> 002_PP -> 003,,,2,
2684,68,002_SP -> 002_PP -> 003,,,2,
2684,69,003 -> 002_SP -> 002_PP,,,2,
2684,70,003 -> 002_SP -> 002_PP,,,2,
2684,71,003 -> 002_SP -> 002_PP,,,3,
2684,72,002_SP -> 002_PP -> 003,,,3,
2684,73,003 -> 002_SP -> 002_PP,,,3,
2684,74,003 -> 002_SP -> 002_PP,,,3,
2684,75,003 -> 002_SP -> 002_PP,,,3,
2684,76,002_SP -> 002_PP -> 003,,,3,
2684,77,002_SP -> 002_PP -> 003,,,3,
2684,78,002_SP -> 002_PP -> 003,,,3,
2684,79,002_SP -> 002_PP -> 003,,,3,
2684,80,003 -> 002_SP -> 002_PP,,,3,
2684,81,003 -> 002_SP -> 002_PP,,,3,
2684,82,003 -> 002_SP -> 002_PP,,,3,
2684,83,003 -> 002_SP -> 002_PP,,,3,
2684,84,002_SP -> 002_PP -> 003,,,3,
2684,85,002_SP -> 002_PP -> 003,,,3,
2684,86,002_SP -> 002_PP -> 003,,,3,
2684,87,002_SP -> 002_PP -> 003,,,3,
2684,88,002_SP -> 002_PP -> 003,,,3,
2684,89,002_SP -> 002_PP -> 003,,,3,
2684,90,003 -> 002_SP -> 002_PP,,,3,
